GeneID	IDG	CYTO_NUC	ER_GOLGI	MitoCarta	MitoCarta_Pathways	SurfaceLabel	CellMembrane	MATRISOME	SECRETED	glycomineN	glycomineO	IO	GeneSymbol
268	Tbio							ASSOCIATED	SECRETED	N	O		AMH
269	Tbio					surface				N			AMHR2
270	Tchem												AMPD1
271	Tchem												AMPD2
272	Tchem										O		AMPD3
273	Tbio												AMPH
274	Tbio	BOTH									O		BIN1
275	Tbio			Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system | Metabolism > Vitamin metabolism > Folate and 1-C metabolism								AMT
276	Tchem								SECRETED	N			AMY1A
277									SECRETED	N			AMY1B
278									SECRETED	N			AMY1C
279	Tclin								SECRETED	N			AMY2A
280	Tbio								SECRETED	N			AMY2B
283	Tbio	NUCLEUS							SECRETED				ANG
284	Tbio							ASSOCIATED	SECRETED	N	O		ANGPT1
285	Tbio	NUCLEUS						ASSOCIATED	SECRETED	N	O		ANGPT2
286	Tbio	NUCLEUS											ANK1
287	Tbio						Cell Membrane			N			ANK2
288	Tbio		BOTH				Cell Membrane			N	O		ANK3
290	Tchem	CYTOPLASM				surface	Cell Membrane			N	O		ANPEP
291	Tbio			MIM	Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family	nonsurface							SLC25A4
292	Tbio	NUCLEUS		MIM	Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family	nonsurface							SLC25A5
293	Tbio	NUCLEUS		MIM	Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family	nonsurface							SLC25A6
301	Tbio	BOTH					Cell Membrane	ASSOCIATED		N			ANXA1
302	Tbio	BOTH						ASSOCIATED	SECRETED	N	O		ANXA2
304	Tdark	BOTH						ASSOCIATED					ANXA2P2
306	Tbio	CYTOPLASM						ASSOCIATED					ANXA3
307	Tbio	BOTH						ASSOCIATED					ANXA4
308	Tbio	CYTOPLASM						ASSOCIATED					ANXA5
309	Tbio							ASSOCIATED		N			ANXA6
310	Tbio	NUCLEUS						ASSOCIATED					ANXA7
311	Tbio	CYTOPLASM						ASSOCIATED					ANXA11
312	Tbio						Cell Membrane	ASSOCIATED					ANXA13
313	Tchem								SECRETED	N			AOAH
314	Tchem	CYTOPLASM					Cell Membrane						AOC2
316	Tbio												AOX1
317	Tbio	NUCLEUS											APAF1
318	Tbio			Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing								NUDT2
319	Tbio								SECRETED	N			APOF
320	Tbio	BOTH	GOLGI										APBA1
321	Tbio	CYTOPLASM											APBA2
322	Tbio	BOTH					Cell Membrane				O		APBB1
323	Tbio	BOTH											APBB2
324	Tbio	BOTH					Cell Membrane				O		APC
325	Tchem	NUCLEUS							SECRETED	N			APCS
326	Tbio	BOTH									O		AIRE
327	Tchem					nonsurface							APEH
328	Tchem	BOTH	ENDORETICULUM	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA repair								APEX1
329	Tchem	BOTH									O		BIRC2
330	Tchem	BOTH									O		BIRC3
331	Tchem	BOTH									O		XIAP
332	Tchem	BOTH											BIRC5
333	Tbio					surface	Cell Membrane						APLP1
334	Tbio	NUCLEUS				surface	Cell Membrane						APLP2
335	Tbio	NUCLEUS							SECRETED				APOA1
336	Tbio								SECRETED				APOA2
337	Tbio												APOA4
338	Tchem	CYTOPLASM							SECRETED	N	O		APOB
339	Tbio	BOTH											APOBEC1
341	Tbio		ENDORETICULUM						SECRETED				APOC1
343	Tbio					surface				N			AQP8
344	Tbio								SECRETED				APOC2
345	Tbio								SECRETED				APOC3
346	Tbio								SECRETED				APOC4
347	Tbio	CYTOPLASM	ENDORETICULUM						SECRETED	N			APOD
348	Tbio	BOTH	BOTH						SECRETED		O		APOE
350	Tbio								SECRETED	N			APOH
351	Tchem	CYTOPLASM	GOLGI			surface				N	O		APP
353	Tbio	CYTOPLASM											APRT
354	Tchem	NUCLEUS							SECRETED	N			KLK3
355	Tbio					surface	Cell Membrane		SECRETED	N	O		FAS
356	Tbio	NUCLEUS				surface	Cell Membrane	ASSOCIATED	SECRETED	N	O		FASLG
357	Tbio						Cell Membrane						SHROOM2
358	Tbio	BOTH				surface	Cell Membrane			N			AQP1
359	Tbio		GOLGI			surface	Cell Membrane				O		AQP2
360	Tchem	BOTH					Cell Membrane						AQP3
361	Tbio	CYTOPLASM				surface				N			AQP4
362	Tbio		ENDORETICULUM			surface				N			AQP5
363	Tbio												AQP6
364	Tbio	CYTOPLASM				nonsurface							AQP7
366	Tbio					surface				N			AQP9
367	Tclin	BOTH				nonsurface					O		AR
368	Tbio	NUCLEUS					Cell Membrane						ABCC6
369	Tchem										O		ARAF
372	Tbio												ARCN1
373	Tbio	BOTH	GOLGI										TRIM23
374	Tbio	NUCLEUS				surface		ASSOCIATED		N			AREG
375	Tchem	CYTOPLASM	GOLGI				Cell Membrane						ARF1
377	Tbio	CYTOPLASM	GOLGI										ARF3
378	Tbio	CYTOPLASM	GOLGI										ARF4
379	Tbio	CYTOPLASM					Cell Membrane						ARL4D
381	Tbio	CYTOPLASM	GOLGI	unknown	0								ARF5
382	Tbio	CYTOPLASM	GOLGI				Cell Membrane						ARF6
383	Tchem	BOTH								N		IO	ARG1
384	Tchem	CYTOPLASM		Matrix	Metabolism > Amino acid metabolism								ARG2
387	Tbio	BOTH					Cell Membrane						RHOA
388	Tbio	BOTH					Cell Membrane						RHOB
389	Tbio	CYTOPLASM					Cell Membrane						RHOC
390	Tbio	CYTOPLASM											RND3
391	Tbio	CYTOPLASM					Cell Membrane						RHOG
392	Tbio	CYTOPLASM				nonsurface							ARHGAP1
393	Tbio	CYTOPLASM	GOLGI										ARHGAP4
394	Tbio	CYTOPLASM	ENDORETICULUM								O		ARHGAP5
395	Tbio	CYTOPLASM											ARHGAP6
396	Tchem												ARHGDIA
397	Tbio	CYTOPLASM											ARHGDIB
398	Tbio												ARHGDIG
399	Tbio	CYTOPLASM					Cell Membrane						RHOH
400	Tbio	CYTOPLASM	GOLGI										ARL1
401	Tbio	NUCLEUS									O		PHOX2A
402	Tbio	NUCLEUS	GOLGI	IMS	Mitochondrial dynamics and surveillance > Fusion								ARL2
403	Tbio	NUCLEUS	GOLGI				Cell Membrane						ARL3
405	Tbio	BOTH									O		ARNT
406	Tbio	NUCLEUS									O		ARNTL
407	Tbio	CYTOPLASM											ARR3
408	Tbio	BOTH					Cell Membrane			N			ARRB1
409	Tbio	BOTH					Cell Membrane				O		ARRB2
410	Tbio									N			ARSA
411	Tbio		GOLGI							N			ARSB
412	Tchem		BOTH			surface				N			STS
414	Tbio												ARSD
415	Tbio		GOLGI										ARSE
416	Tdark								SECRETED	N	O		ARSF
417	Tbio					surface				N			ART1
419	Tbio					surface	Cell Membrane			N			ART3
420	Tbio					surface	Cell Membrane			N			ART4
421	Tbio	BOTH											ARVCF
427	Tchem	NUCLEUS	ENDORETICULUM							N	O		ASAH1
429	Tbio	NUCLEUS									O		ASCL1
430	Tbio	BOTH											ASCL2
432	Tbio					surface			SECRETED	N			ASGR1
433	Tbio					surface							ASGR2
434	Tbio								SECRETED	N			ASIP
435	Tbio	CYTOPLASM											ASL
438	Tbio												ASMT
439	Tbio	BOTH											ASNA1
440	Tchem												ASNS
443	Tbio	NUCLEUS											ASPA
444	Tbio		ENDORETICULUM			nonsurface					O		ASPH
445	Tbio	BOTH	ENDORETICULUM										ASS1
460	Tbio					surface							ASTN1
462	Tclin							ASSOCIATED	SECRETED	N	O		SERPINC1
463	Tbio	BOTH											ZFHX3
466	Tchem	NUCLEUS									O		ATF1
467	Tbio	NUCLEUS											ATF3
468	Tbio	BOTH					Cell Membrane				O		ATF4
471	Tchem												ATIC
472	Tchem	NUCLEUS									O		ATM
473	Tbio	NUCLEUS											RERE
474	Tbio	NUCLEUS									O		ATOH1
475	Tbio												ATOX1
476	Tclin		BOTH			surface	Cell Membrane			N			ATP1A1
477	Tclin	CYTOPLASM				surface	Cell Membrane						ATP1A2
478	Tclin		BOTH			surface	Cell Membrane						ATP1A3
479	Tchem												ATP12A
480	Tclin					surface	Cell Membrane						ATP1A4
481	Tclin					surface	Cell Membrane						ATP1B1
482	Tclin	CYTOPLASM				surface	Cell Membrane						ATP1B2
483	Tclin					surface	Cell Membrane			N			ATP1B3
486	Tclin					nonsurface							FXYD2
487	Tchem					nonsurface							ATP2A1
488	Tbio		ENDORETICULUM							N			ATP2A2
489	Tbio		ENDORETICULUM								O		ATP2A3
490	Tbio	NUCLEUS					Cell Membrane			N	O		ATP2B1
491	Tbio	CYTOPLASM				surface	Cell Membrane				O		ATP2B2
492	Tbio		GOLGI			surface	Cell Membrane				O		ATP2B3
493	Tbio					surface	Cell Membrane			N			ATP2B4
495	Tclin						Cell Membrane			N			ATP4A
496	Tclin					surface	Cell Membrane						ATP4B
498	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits		Cell Membrane						ATP5A1
501	Tbio	NUCLEUS		Matrix	Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism								ALDH7A1
506	Tbio	NUCLEUS		MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5B
509	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5C1
513	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5D
514	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5E
515	Tbio	NUCLEUS		MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5F1
516	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	nonsurface							ATP5G1
517	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	nonsurface							ATP5G2
518	Tdark			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	nonsurface							ATP5G3
521	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation	nonsurface							ATP5I
522	Tbio			MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5J
523	Tbio												ATP6V1A
525	Tchem	CYTOPLASM											ATP6V1B1
526	Tchem									N			ATP6V1B2
527	Tbio					nonsurface							ATP6V0C
528	Tbio												ATP6V1C1
529	Tbio												ATP6V1E1
533	Tbio					nonsurface							ATP6V0B
534	Tbio												ATP6V1G2
535	Tbio		GOLGI							N			ATP6V0A1
537	Tchem												ATP6AP1
538	Tbio	NUCLEUS	BOTH				Cell Membrane						ATP7A
539	Tbio	NUCLEUS		MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits								ATP5O
540	Tbio		GOLGI							N			ATP7B
545	Tchem	NUCLEUS	GOLGI			nonsurface							ATR
546	Tbio	NUCLEUS											ATRX
547	Tbio												KIF1A
549	Tbio			Matrix	Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism								AUH
550	Tbio					nonsurface							AUP1
551	Tbio								SECRETED	N			AVP
552	Tclin					surface	Cell Membrane			N			AVPR1A
553	Tclin					surface	Cell Membrane			N			AVPR1B
554	Tclin		BOTH			surface	Cell Membrane						AVPR2
558	Tchem					surface	Cell Membrane			N	O		AXL
563	Tbio	NUCLEUS							SECRETED	N			AZGP1
566	Tbio									N			AZU1
567	Tbio		GOLGI						SECRETED				B2M
570	Tbio												BAAT
571	Tbio	BOTH											BACH1
572	Tchem			MOM	Mitochondrial dynamics and surveillance > Apoptosis						O		BAD
573	Tbio	BOTH									O		BAG1
574	Tdark								SECRETED				BAGE
575	Tbio					surface	Cell Membrane			N			ADGRB1
576	Tbio					surface	Cell Membrane						ADGRB2
577	Tbio					surface	Cell Membrane						ADGRB3
578	Tbio		ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface							BAK1
579	Tbio	NUCLEUS									O		NKX3-2
580	Tbio	BOTH									O		BARD1
581	Tchem	BOTH	ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface							BAX
582	Tbio						Cell Membrane						BBS1
583	Tbio						Cell Membrane						BBS2
585	Tbio	NUCLEUS					Cell Membrane						BBS4
586	Tchem												BCAT1
587	Tchem			Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism								BCAT2
590	Tclin								SECRETED	N			BCHE
593	Tbio			MIM	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex								BCKDHA
594	Tbio			MIM	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex								BCKDHB
595	Tchem	BOTH											CCND1
596	Tclin	BOTH	ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface					O		BCL2
597	Tchem			MOM	Mitochondrial dynamics and surveillance > Apoptosis								BCL2A1
598	Tchem	CYTOPLASM	ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface					O		BCL2L1
599	Tchem			MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface							BCL2L2
602	Tbio	BOTH											BCL3
604	Tchem	NUCLEUS	GOLGI										BCL6
605	Tbio												BCL7A
606	Tdark												NBEAP1
607	Tbio										O		BCL9
608	Tbio					surface	Cell Membrane						TNFRSF17
610	Tclin					nonsurface	Cell Membrane						HCN2
611	Tbio					surface							OPN1SW
613	Tclin					nonsurface	Cell Membrane						BCR
617	Tbio			MIM	OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors	nonsurface							BCS1L
622	Tbio			MIM	Metabolism > Carbohydrate metabolism > Ketone metabolism								BDH1
623	Tchem		ENDORETICULUM			surface	Cell Membrane			N			BDKRB1
624	Tclin					surface	Cell Membrane			N			BDKRB2
627	Tbio	CYTOPLASM						ASSOCIATED	SECRETED	N			BDNF
629	Tchem								SECRETED	N			CFB
631	Tbio	CYTOPLASM											BFSP1
632	Tbio	CYTOPLASM						CORE	SECRETED				BGLAP
633	Tbio							CORE	SECRETED	N			BGN
634	Tbio					surface	Cell Membrane		SECRETED	N		IO	CEACAM1
635	Tchem												BHMT
636	Tbio		GOLGI								O		BICD1
637	Tbio			MOM	Mitochondrial dynamics and surveillance > Apoptosis								BID
638	Tbio			MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface							BIK
639	Tbio	BOTH											PRDM1
640	Tchem						Cell Membrane						BLK
641	Tchem	BOTH									O		BLM
642	Tbio	BOTH											BLMH
643	Tbio					surface	Cell Membrane			N			CXCR5
644	Tbio												BLVRA
645	Tbio												BLVRB
646	Tbio	BOTH											BNC1
648		NUCLEUS									O		BMI1
649	Tchem		GOLGI					ASSOCIATED	SECRETED	N	O		BMP1
650	Tbio							ASSOCIATED	SECRETED	N	O		BMP2
651	Tbio							ASSOCIATED	SECRETED	N	O		BMP3
652	Tchem							ASSOCIATED	SECRETED	N	O		BMP4
653	Tbio							ASSOCIATED	SECRETED	N	O		BMP5
654	Tbio	CYTOPLASM						ASSOCIATED	SECRETED	N	O		BMP6
655	Tbio							ASSOCIATED	SECRETED	N	O		BMP7
656	Tbio							ASSOCIATED	SECRETED	N			BMP8B
657	Tchem					surface					O		BMPR1A
658	Tchem									N	O		BMPR1B
659	Tchem	CYTOPLASM				surface				N	O		BMPR2
660	Tchem												BMX
661	Tbio												POLR3D
662	Tbio	CYTOPLASM	ENDORETICULUM			nonsurface							BNIP1
663	Tbio	CYTOPLASM									O		BNIP2
664	Tbio	BOTH	ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface					O		BNIP3
665	Tbio		ENDORETICULUM	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface					O		BNIP3L
666	Tbio	BOTH	BOTH	MOM	Mitochondrial dynamics and surveillance > Apoptosis	nonsurface							BOK
667	Tbio	BOTH					Cell Membrane				O		DST
668	Tbio	NUCLEUS									O		FOXL2
669	Tbio												BPGM
670	Tbio			Matrix	Metabolism > Detoxification > Xenobiotic metabolism								BPHL
671	Tbio								SECRETED	N			BPI
672	Tchem	BOTH				nonsurface					O		BRCA1
673	Tclin	NUCLEUS					Cell Membrane				O		BRAF
675	Tbio	NUCLEUS									O		BRCA2
676	Tchem	NUCLEUS									O		BRDT
677	Tbio	BOTH											ZFP36L1
678	Tbio	BOTH											ZFP36L2
680	Tchem					surface	Cell Membrane						BRS3
682	Tbio					surface	Cell Membrane			N	O		BSG
683	Tbio					surface	Cell Membrane			N			BST1
684	Tbio	CYTOPLASM	GOLGI			surface	Cell Membrane			N			BST2
685	Tbio					surface	Cell Membrane	ASSOCIATED	SECRETED	N	O		BTC
686	Tbio								SECRETED	N			BTD
687	Tbio	NUCLEUS											KLF9
688	Tbio	NUCLEUS	GOLGI								O		KLF5
689	Tbio	NUCLEUS											BTF3
694	Tbio	BOTH											BTG1
695	Tclin	BOTH					Cell Membrane			N			BTK
